especie,rotacao,regiao,fazenda,projeto,estrato,talhao,idade,ano,pagina,arvore,dap,ht,vol,voltot
E.grandis,1,Salto,1,89,101,6,3.7,92,57602,1,7.32,12.81,24.343027,25.7
E.grandis,1,Salto,1,89,101,6,3.7,92,57704,1,8.59,15.84,39.651576,41.5
E.grandis,1,Salto,1,89,101,6,3.7,92,57807,1,10.19,17.71,61.841835,63.2
E.grandis,1,Salto,1,89,101,6,3.7,92,57807,2,10.82,17.72,72.736659,73.7
E.grandis,1,Salto,1,89,101,6,3.7,92,57910,1,13.05,20.94,128.877422,130
E.grandis,1,Salto,1,89,101,6,3.7,92,57910,2,12.73,20.4,120.278749,121
E.grandis,1,Salto,1,89,101,6,3.7,92,57910,3,13.05,20.5,122.892566,124
E.grandis,1,Salto,1,89,101,6,3.7,92,57910,4,12.41,20.35,110.646787,111
E.grandis,1,Salto,1,89,101,6,3.7,92,58108,1,14.32,21.2,159.180011,160
E.grandis,1,Salto,1,89,101,6,3.7,92,58108,2,14.01,21.01,133.713967,135
E.grandis,1,Salto,1,89,101,6,3.7,92,58108,3,14.64,20.79,160.591717,161
E.grandis,1,Salto,1,89,101,6,3.7,92,58108,4,14.64,21.51,168.638813,170
E.grandis,1,Salto,1,89,101,6,3.7,92,58203,1,18.46,23.52,267.62208,268
E.grandis,1,Sato,1,89,101,8,3.6,92,57501,1,5.41,9.47,9.751284,11.7
E.grandis,1,Salto,1,89,101,8,3.6,92,57602,2,7.32,15.21,32.899972,34.8
E.grandis,1,Salto,1,89,101,8,3.6,92,57704,2,9.23,16.44,55.81337,56.5
E.grandis,1,Salto,1,89,101,8,3.6,82,57704,3,8.28,14.06,34.484088,35.4
E.grandis,1,Salto,1,89,101,8,3.6,92,57807,3,9.87,17.62,65.910967,66.7
E.grandis,1,Salto,1,89,101,8,3.6,92,57807,4,10.19,17.38,63.87613,64.9
E.grandis,1,Salto,1,89,101,8,3.6,92,57807,5,9.55,18.46,67.052551,68.4
E.grandis,1,Salto,1,89,101,8,3.6,92,57910,5,11.46,19.02,89.680261,90.1
E.grandis,1,Salto,1,89,101,8,3.6,92,57910,6,12.1,18.79,101.620787,103
E.grandis,1,Salto,1,89,101,8,3.6,92,57910,7,13.05,19.74,124.046626,125
E.grandis,1,Salto,1,89,101,8,3.6,92,57910,8,13.05,19.7,121.66193,122
E.grandis,1,Salto,1,89,101,8,3.6,92,57910,9,12.41,19.47,105.328039,106
E.grandis,1,Salto,1,89,101,8,3.6,92,58108,5,14.64,20.5,162.71629,164
E.grandis,1,Salto,1,89,101,8,3.6,92,58108,6,13.69,19.32,134.959577,136
E.grandis,1,Salto,1,89,101,8,3.6,92,58108,7,14.64,19.81,163.867165,165
E.grandis,1,Salto,1,89,101,8,3.6,92,58108,8,14.01,20.25,144.493156,145
E.grandis,1,Salto,1,89,101,8,3.6,92,58203,2,18.14,23.04,269.529451,270
E.grandis,1,Salto,1,89,101,9,3.6,92,57704,4,8.91,17.38,51.132546,52.9
E.grandis,1,Salto,1,89,101,9,3.6,92,57807,6,10.19,17.96,71.762981,72.7
E.grandis,1,Salto,1,89,101,9,3.6,92,57807,7,9.87,17.41,66.810743,68.3
E.grandis,1,Salto,1,89,101,9,3.6,92,57910,10,12.73,19.15,111.213016,112
E.grandis,1,Salto,1,89,101,9,3.6,92,58001,1,11.46,18.35,92.051747,92.7
E.grandis,1,Salto,1,89,101,9,3.6,92,58203,3,17.19,21.18,214.71912,215
E.grandis,1,Salto,1,89,102,1,3.4,92,58305,1,11.78,17.44,88.758235,89.9
E.grandis,1,Salto,1,89,102,1,3.4,92,58305,2,7.96,16.63,38.430588,39.7
E.grandis,1,Salto,1,89,102,1,3.4,92,58305,3,10.19,17.44,68.432842,69.1
E.grandis,1,Salto,1,89,102,1,3.4,92,58305,4,8.28,15.98,39.236564,40.8
E.grandis,1,Salto,1,89,102,1,3.4,92,58305,5,15.6,20.24,172.141088,173
E.grandis,1,Salto,1,89,102,1,3.6,92,115603,1,14.96,21.27,169.458348,170
E.grandis,1,Salto,1,89,102,1,3.6,92,115603,2,14.64,21.71,167.910902,168
E.grandis,1,Salto,1,89,102,1,3.6,92,115603,3,14.32,21.99,158.663015,159
E.grandis,1,Salto,1,89,102,1,3.6,92,115703,1,12.73,19.2,117.738206,118
E.grandis,1,Salto,1,89,102,1,3.6,92,115703,2,11.78,17.47,85.763347,86.8
E.grandis,1,Salto,1,89,102,1,3.6,92,115703,3,11.46,18.73,92.798284,93.8
E.grandis,1,Salto,1,89,102,1,3.6,92,115803,1,11.14,15.7,74.100738,74.4
E.grandis,1,Salto,1,89,102,1,3.6,92,115803,2,9.55,16.95,56.19794,57.9
E.grandis,1,Salto,1,89,102,1,3.6,92,115803,3,10.19,17.41,64.23049,65.6
E.grandis,1,Salto,1,90,105,21,2.9,92,113501,1,7.32,12.82,27.551599,28.4
E.grandis,1,Salto,1,90,105,21,2.9,92,113603,1,9.23,15.07,48.57042,49
E.grandis,1,Salto,1,90,105,21,2.9,92,113709,1,10.82,16.58,66.61675,67.5
E.grandis,1,Salto,1,90,105,21,2.9,92,113709,2,11.14,15.47,72.852375,73.6
E.grandis,1,Salto,1,90,105,21,2.9,92,113709,3,10.82,15.4,67.599923,68.5
E.grandis,1,Salto,1,90,105,21,2.9,92,113709,4,9.55,15.87,54.638222,55
E.grandis,1,Salto,1,90,105,21,2.9,92,113709,5,9.55,15.08,51.0451,52.3
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,1,12.73,17.27,98.806121,99.2
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,2,13.05,19.13,115.223082,116
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,3,13.05,17.41,101.486508,102
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,4,12.41,17.76,102.648571,103
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,5,11.78,16.98,85.688259,86
E.grandis,1,Salto,1,90,105,21,2.9,92,114006,1,13.69,18.67,126.491826,127
